id,text,CARDINAL,LProcess,LCover,DATE,DIRECTION,GPE,ORG,PERSON,SURFACE_UNIT,VRC,LOC,PERCENT,LAW,EVENT,LANGUAGE,QUANTITY,FAC,NORP,ORDINAL,PRODUCT,total
1-s2.0-S0169204617300270-main.pdf.tei_47,For example Poku Boansi Amoako 2015 compared spatial inequalities of cities within Ghana including Takoradi and Bolgatanga using statistics secondary data without consulting experts or comparing urban development with the aid of remote sensing data. The specific research questions are What are the patterns of peri urban development and differences between northern and southern Ghana using Bolgatanga as an example for the north and Takoradi as an example for the south What are the determinants of urban development for both study areas Which conclusions can be drawn for land use planning What are the current opportunities and challenges of land use planning and how can they be linked to urban sprawl What are the dis advantages of a mixed method approach to analyse peri urban land use patterns The analysis of the dynamics of urban and peri urban areas from a social science perspective introduces reasoning of human behaviour and provides a background of historical cultural and social development e.g,0,6,5,1,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23
1-s2.0-S0301479717300713-main.pdf.tei_274,Error 0.3217 0.000001553 1.97 0.4507 1Q Estimate 6.76E 01 1.18E 05 0.0706 3.2215 0.001339 0.0005282 0.265 1.558 0.79097 0.12009 0.00001909 3.291 0.00109 0.00001566 1.663 0.09715. Signif,11,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14
1-s2.0-S003442571730041X-main.pdf.tei_14,As current classification schemes of the land cover class cropland encompass fallowed fields in both time and space for the Sahel there is a need to determine the impact of fallow fields on the NDVI signal and related trends. From the Earth Observation EO perspective a successful differentiation between cropped and fallowed fields is required to improve our understanding of the mechanisms and drivers of observed NDVI trends in relation to changes in the spatio temporal patterns of crop fallow rotation due to cropping expansion abandonment,0,0,9,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,14
1-s2.0-S003442571730041X-main.pdf.tei_52,The standardized slope P value and standard deviation SD of the cropped fallowed area were extracted for further statistical analysis and compared with commonly used time series NDVI metrics annual NDVI sum rainy season NDVI sum July August and September small integral large integral and annual rainfall sum extracted over the Niamey Square Degree from 2000 to 2012 collected by AMMA CATCH . A total area equal to the size of 5000 MODIS pixels was sampled and averaged for cropped and fallowed fields over the period of study,1,0,2,6,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,13
1-s2.0-S0140196313000608-main.pdf.tei_1,Title Content level a type main text Scientific documentation of crop land changes in the Sahel A half empty box of knowledge to support policy Title Content level a type main text Scientific documentation of crop land changes in the Sahel A half empty box of knowledge to support policy Title Content Abstract Content div http www.tei c.org ns 1.0 The Sahel has been subject of considerable environmental research and development efforts specifically since the droughts of the 1970s and 1980s,3,0,2,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12
1-s2.0-S0168192311001122-main.pdf.tei_40,Depending on the average fallow cropland ratio a sub basin is classified into one of the seven classes Table where fallow cropland ratio and hence fallow availability is decreasing from class 1 to 7. EPIC is a field scale model that is designed to simulate drainage areas which are characterized by homogeneous weather soil landscape crop rotation and management system parameters,1,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10
1-s2.0-S0167880913003502-main.pdf.tei_49,Another example using a 7 year wheat corn rotation in China Table showed that CT had 0.7 Mg C ha 1 less than NT by the fixed depth method but CT had 0.6 Mg C more than NT by the ESM method Table . type bibr target b92 Lee et al,1,0,1,1,0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,10
1-s2.0-S0167880913003502-main.pdf.tei_41,For example materials with high C N characteristic of cereal crop residues reduce the available N in the soil due to N immobilization and could result in lower crop production while residues with high N contents and low C N ratios as is the case with many legume residues and legume cover crops increase soil N availability and possibly crop production . The amount of crop residue retained after harvest either on the soil surface or incorporated is a key component to CA performance,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9
1-s2.0-S003442571730041X-main.pdf.tei_79,Linear trends are shown for cropped fields fallowed fields annual NDVI and rainfall sum. NDVI unit time note http www.tei c.org ns 1.0 place foot xml id foot 0 X,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,8
1-s2.0-S0168192311001122-main.pdf.tei_71,Mean maize yields are decreasing in land use scenario L1 L2 and L3 by 16 24 and 18% respectively Fig,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,8
