id,text,VRC,LCover,ORG,LProcess,DATE,PERCENT,NORP,PRODUCT,DIRECTION,LOC,GPE,PERSON,QUANTITY,CARDINAL,total
1-s2.0-S003442571730041X-main.pdf.tei_9,Still at present little scientific empirical evidence for the link between NDVI trends and cropland changes is provided for drylands in general and for the Sahel region in particular. Several local scale studies showed a general increase in cropped areas since the 1950s and in recent years a few studies have indicated that cropland has a higher annual NDVI than savanna in Sahelian areas supporting a possible link between cropland expansion cropping intensification and the observed positive trends in NDVI,1,4,3,0,2,0,0,0,2,0,0,0,0,0,12
1-s2.0-S016788090800131X-main.pdf.tei_31,In Yale the size of crop and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984 while the forest land and the gallery forests declined by nearly 50% Table and Fig,1,3,1,0,2,2,0,0,0,0,0,1,0,1,11
1-s2.0-S030438781000043X-mainext.pdf.tei_107,Fenske Journal of Development Economics 95 2011 137 156 http www.tei c.org ns 1.0 place foot n 3 xml id foot 2 The appropriate counterfactual question is not whether the extent of cocoa cultivation would have been larger with more secure tenure but rather whether the crop would have spread faster,0,1,1,1,0,0,0,0,0,0,0,0,1,6,10
1-s2.0-S0140196322000143-main.pdf.tei_42,Another variance analysis using GLM was conducted for the variable means of all recorded trees and shrubs per land use type to assess the contribution of the size of individual trees and shrubs to the differences in woody vegetation between land use types,0,4,1,2,0,0,0,0,0,0,0,0,0,0,7
1-s2.0-S0006320709005400-main.pdf.tei_109,Although such schemes clearly have the potential to benefit biodiversity and the wider environment further research is required to quantify the benefits and risks assess the scales over which benefits are being and are likely to be delivered and to assess the socio economic implications for livelihoods and land use . The tropical forest zone in West Africa has experienced centuries of human modification leading to a substantial decline in forest cover and loss of forest biodiversity,0,3,0,1,1,0,0,0,1,1,0,0,0,0,7
1-s2.0-S0169204617300270-main.pdf.tei_88,These change rates together with the decreasing average SU size Table indicate that urban expansion was mainly based on smaller SUs thus indicating informal urban sprawl. The histogram of the SU sizes in the two study areas Fig,1,2,1,0,0,0,0,0,0,0,0,1,0,1,6
1-s2.0-S0304387816300670-main.pdf.tei_31,2006 who estimate an increase in the national urban share of 0.45 percent with a reduction in national rainfall of 1 percent,1,1,0,0,1,2,0,0,0,0,0,0,0,0,5
1-s2.0-S0301479717300713-main.pdf.tei_69,In the past missing or low fertilizer input was compensated by the crop fallow practice but land pressure due to population growth has led to permanent and recurrent use of agricultural parcels and recurrent cultivation of the same crops,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5
1-s2.0-S0169204617300270-main.pdf.tei_93,Coping capacities were therefore assumed to be lower for the Bolgatanga area which could lead to local food crises provoked by urban sprawl where land becomes useless for agriculture . Our three data sets show at a high confidence level that population growth is a driving force of urban development in both study areas Table,0,2,0,1,0,0,0,0,0,0,1,0,0,1,5
1-s2.0-S0140196313000608-main.pdf.tei_37,In northern Burkina Faso temporary migration is also one of the diversification strategies observed . During the last few years violent land use conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict,0,0,0,1,1,0,0,0,2,0,0,1,0,0,5
