id,text,LProcess,LCover,DATE,VRC,PERCENT,CARDINAL,GPE,PERSON,NORP,DIRECTION,LOC,QUANTITY,SURFACE_UNIT,ORG,PRODUCT,total
1-s2.0-S0264837715302131-main.pdf.tei_76,Assuming the dynamics recorded in the second period 1990 2010 the amounts of land covered by forest woodland and tree savanna will decrease by 5 9 and 17% of their cover in 1990 respectively while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area respectively,0,5,3,2,2,1,0,0,0,0,0,0,0,0,0,13
1-s2.0-S030438781000043X-mainext.pdf.tei_61_pt2,Ratios of fallow to cultivated area are 0.8 in Woure where the bushfallow system is already defunct 1.6 in Silgey and Kolbila where bush fallow would lead to a steady decline in fertility 2 in Koho where bush fallow is marginal and 5 in Sayero where available land is still more than adequate.,0,3,0,0,0,4,2,2,0,0,1,0,0,1,0,13
1-s2.0-S0264837715302131-main.pdf.tei_104,About 26 and 31% of the total area of natural vegetation forest woodland and tree savanna will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990 2010 respectively,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,10
1-s2.0-S0140196322000143-main.pdf.tei_48,. From 1996 to 2017 the area covered by cropped fields C has increased from 40% to 51.3% over the study site area and from 47% to 64% of the arable lands in the study site due to the loss fallows,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,8
1-s2.0-S000632071100245X-main.pdf.tei_4,In fact some NTFP providing trees such as the baobab Adansonia digitata and the shea tree Vitellaria paradoxa are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved,2,3,0,0,0,0,1,0,0,0,0,0,0,1,1,8
1-s2.0-S003442571730041X-main.pdf.tei_68,Whereas most shrubs are annually coppiced in fields prior to cultivation they are left to grow in fallowed fields leading to a higher shrub woody plant cover,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7
1-s2.0-S016788090800131X-main.pdf.tei_30,Forest land was decreased nearly by half in 2002 compared to its coverage in 1984 while the size of the gallery forest did not change much,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,6
1-s2.0-S0006320709005400-main.pdf.tei_9_pt2,text The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,6
1-s2.0-S0140196322000143-main.pdf.tei_18,Rangelands are grazed year round under communal access but grazing also extends to fallows year round or only in the dry season depending on accessibility and to cropped fields after the crop harvest,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6
1-s2.0-S0140196314000536-main.pdf.tei_53,Since the 1960s the natural vegetation has been completely transformed and today many trees and shrubs have become rare or disappeared Fig,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,5
1-s2.0-S0140196322000143-main.pdf.tei_89,In rangelands the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood not only from the local rural population but also from the rapidly growing urban population of Niamey only 80 km away,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,5
1-s2.0-S0264837715302131-main.pdf.tei_46,In 1990 woodland and tree savanna were still the dominant land cover types,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
