doccano task,Segment,label
1-s2.0-S0301479717300713-main.pdf.tei_48,"In total, 12 documents were identified as relevant in the context of [LULCC] in the UER (Table )",0
1-s2.0-S0304387816300670-main.pdf.tei_119,"While our model and the specification below focus on within-district movements of population, in a continent where primate cities generally dominate the [urban] landscape, it may be that a common response to bad climate shocks is to move to the primate [city] rather than locally",0
1-s2.0-S0140196313000608-main.pdf.tei_110,Other areas have experienced a decrease in [crop] land despite a population increase,1
1-s2.0-S0169204617300270-main.pdf.tei_35,"We use the term ""[urban] sprawl"" to describe a special type of [urban] development where the development occurs scattered and uneven on new (non-[urban]) lots, leading to inefficient resource utilisation, i.e",0
1-s2.0-S095937809800003X-main.pdf.tei_69,"Thus, changes in [land use ]strategies result not only in a simple expansion of fields to new and less attractive land",2
1-s2.0-S0301479717300713-main.pdf.tei_28,"Due to the low capacities for food provision, especially in the dry season, up to 100,000 people (in 2000; migrate to southern Ghana in the dry season to find work.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': 'Mixed-method approach and confidence reporting'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b75', '#text': '(Rindfuss et al., 2004)'}, {'@type': 'bibr', '@target': '#b85', '#text': '(Tashakkori and Teddlie, 2003)'}, {'@type': 'table', '#text': '1a'}, {'@type': 'table', '#text': '1b'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2'}], '#text': 'Many [LULCC] analyses originating from remote sensing add social information through quantitative data",0
1-s2.0-S0304387816300670-main.pdf.tei_136,"To identify rainfall effects on lights, in principle we want to control for timeinvariant [city] conditions, year effects (to account for annual differences in sensor settings across and within satellites), and possibly for [city]-specific linear growth trends",0
1-s2.0-S003442571730041X-main.pdf.tei_68,"Whereas most [shrubs] are annually coppiced in fields prior to [cultivation], they are left to grow in fallowed fields, leading to a higher shrub/ woody plant cover",2
1-s2.0-S0169204617300270-main.pdf.tei_70,"Based on the consistency of the results of the three methods, we assigned confidence levels (Table and).'}, {'ref': {'@type': 'bibr', '@target': '#b24', '#text': '(Chin, 2002)'}, '#text': '[Urban] sprawl is difficult to detect without comparing spatial [land use ]plans with existing [urban] housing",0
1-s2.0-S0303243414001718-main.pdf.tei_34,"On the one hand, tree growth and [agroforestry] on fields have led to an increase of woody cover in proximity to the village",2
1-s2.0-S0264837715302131-main.pdf.tei_76,"Assuming the dynamics recorded in the second period (1990 - 2010), the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",2
1-s2.0-S095937809800003X-main.pdf.tei_45,The classification of [land use ]was on visual interpretation only,0
1-s2.0-S0304387816300670-main.pdf.tei_156,"We then turn to evidence on the migration channel itself.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '7.1.', '#text': 'Conflict'}, 'p': [{'ref': [{'@type': 'bibr', '#text': '25'}, {'@type': 'bibr', '#text': '26'}, {'@type': 'table', '@target': '#tab_0', '#text': '1'}], '#text': 'Conflict could influence [urbanization] in strikingly different ways depending on where it occurs",0
1-s2.0-S0301479717300713-main.pdf.tei_104,Interviews and literature review showed that biophysical factors as drivers of [LULCC] were frequently mentioned in relation to anthropogenic drivers,1
1-s2.0-S0006320709005400-main.pdf.tei_3,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",2
1-s2.0-S0304387816300670-main.pdf.tei_31,"(2006), who estimate an increase in the national [urban] share of 0.45 percent with a reduction in national rainfall of 1 percent",1
1-s2.0-S030438781000043X-mainext.pdf.tei_45,The vulnerability of [fallow] investment to insecurity makes the link particularly strong here,1
1-s2.0-S0301479717300713-main.pdf.tei_139,"P9: We know that [urbanisation] is coming, it\'s growing",1
1-s2.0-S0301479717300713-main.pdf.tei_181,"Temperature variability P3: So it has the potential to lead to [desertification] because the temperatures become very, very high",1
1-s2.0-S235198941500102X-main.pdf.tei_56,"Insights into some of these causes were highlighted in this study.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '5.', '#text': 'Conclusion and implications for management'}, 'p': ""This study allows understanding causes of land degradation and [deforestation] (LDD) in the TWRB",0
1-s2.0-S0308521X12000157-main.pdf.tei_18,"These efforts implicitly recognize that smallholder productivity growth cannot be achieved by TSP alone.', 'Our review of approaches to enhancing smallholder productivity growth suggests that two major pathways have been followed: (1) a relatively successful pathway focussing on export crops and (2) another so far unsuccessful pathway, which focuses on food [crop] production through TSP",0
1-s2.0-S0140196314000536-main.pdf.tei_58,"Active degradation is rarely spotted within 10 years and events such as bush-fires, floods or frequent [crop] rotation make trends often insignificant",0
1-s2.0-S0301479717300713-main.pdf.tei_74,"Today, these areas are free from diseases and are, therefore, threatened by [agriculture]",1
1-s2.0-S0006320709005400-main.pdf.tei_109,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity",1
1-s2.0-S0304387816300670-main.pdf.tei_201,"30 km rain catchment areas around [city]-lights.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_9', 'head': None, 'label': None, 'figDesc': 'The model is closed by noting that the untraded services market must clear",0
1-s2.0-S0140196322000143-main.pdf.tei_18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",2
1-s2.0-S016788090800131X-main.pdf.tei_34,"In 1986, the grazing land had much higher proportion of the total regional area than other [land use ]types while the size of croplands was substantially high after 16 years (Table )",2
