Document,Document Name,the,plus,del,of,afrique,ouest,and,in,entre,cette,comme,eau,lac,al,àl,femmes,bassin,climatiques,climatique,données,10,années,être,pluies,tchad,bassins,période,figure,ainsi,to,pays,peut,deux,précipitations,ivoire,sénégal,leurs,zone,00,développement,paris,fig,elles,niger,20,fait,très,aussi,débits,où,sud,autres,si,migration,changements,non,évolution,bien,sahel,pluie,étude,saison,sous,1997,variabilité,climat
1,010006772.pdf,0.0,0.004642387989519989,0.1431239419544704,0.0018708865540210703,0.012150086145766998,0.009372177619112174,0.0,0.006018480738152562,0.0031534888668819593,0.0,0.0015620296031853623,0.0,0.0,0.0017163665819595116,0.04025746088924694,0.0,0.0,0.00817547018137485,0.004170563487350212,0.015260657141264187,0.0303148152826959,0.01652646504247495,0.0,0.017922615641738533,0.009207219294798879,0.0,0.0,0.0,0.0031832203753303645,0.0,0.001783017328342956,0.0,0.0,0.002362196884967369,0.0652996777949116,0.004170563487350212,0.0,0.0019075821426580233,0.013686952525625027,0.0,0.007556472879830713,0.0,0.003432733163919023,0.0019838838821092876,0.02798894193820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019452309692977656,0.01039646483091348,0.0,0.0,0.0,0.0024405618252381963,0.0445754332085739,0.009448787539869476,0.0,0.0,0.0,0.0
2,010044989.pdf,0.006541956730546078,0.12490157449965066,0.0,0.012583861841953616,0.143015758449231,0.16284988124898633,0.011992840332008882,0.025300749110292495,0.04772438141976334,0.02062292013479554,0.031519331854642514,0.0,0.0,0.0,0.0,0.02665362146729866,0.023832732545995782,0.0,0.0,0.006415340920536669,0.0,0.03334784020710409,0.016991830533581578,0.0,0.0,0.0,0.020015848071561405,0.0,0.021410814744247667,0.0,0.20987470581015544,0.0,0.02375763433979835,0.0,0.07084118816162471,0.04909070546070667,0.032391188618461526,0.006415340920536669,0.0,0.08259218984059295,0.01905973611705991,0.0,0.02308907495337251,0.026687797428748543,0.0,0.011654695363165197,0.023309390726330394,0.05294750500876398,0.0,0.017818225754848763,0.036674901696907666,0.011011679760771349,0.0,0.11752849835100657,0.006541956730546078,0.017482043044747795,0.00561067047150558,0.005883056112084887,0.0,0.0,0.005996420166004441,0.0,0.011654695363165197,0.0,0.0,0.0
3,010058316.pdf,0.0,0.004739361320665576,0.15870961235736078,0.0,0.03953738451864346,0.0406637874396701,0.0027303932951429676,0.002304074558500038,0.0,0.0023475957864638125,0.004783974992902364,0.027832413040081033,0.0,0.010513315227833393,0.08806796974688874,0.0,0.0,0.012519367374074986,0.04151239004344223,0.0,0.020632034392395544,0.02530752148456343,0.002579004299049443,0.0034306866232972732,0.0,0.0,0.0,0.003696586765338406,0.004874570443934993,0.0,0.0027303932951429676,0.0,0.0,0.0036173100698446664,0.009676988927812814,0.0031932607725724794,0.0,0.0,0.004191856446133043,0.0,0.02603582183729323,0.07777070970085478,0.0,0.030379868798512902,0.01875142095298292,0.0,0.0026534082999160303,0.002678774421854703,0.004576435026068303,0.0,0.0027832413040081035,0.005014027662291959,0.0,0.0,0.0029787963984685847,0.0,0.043430700720338763,0.0,0.017703838025385093,0.003737312889833295,0.0027303932951429676,0.0,0.0053068165998320605,0.020584119739783642,0.0,0.0069335540731009886
4,010021666.pdf,0.0,0.09219353518651528,0.0,0.0,0.060322370573489235,0.0077551160905089695,0.0,0.026145320567532625,0.07436763231881059,0.09894550556813318,0.11244918331238006,0.0,0.0,0.0,0.0,0.0065579413188270935,0.0,0.0,0.0,0.0047353523064886825,0.008361447443485133,0.028717528238946494,0.0501686846609108,0.0,0.0,0.0,0.004924762560348674,0.005992393260075606,0.03950988429095581,0.0,0.0044261345445986075,0.052109486322793365,0.056992684001331305,0.0,0.0,0.015529413114810575,0.052599561207313565,0.0,0.0,0.02813710650795317,0.042205659761929755,0.0,0.012782045298458937,0.0,0.008684914387132227,0.05591738305795417,0.008602674316608334,0.02171228596783057,0.0,0.07014484184779238,0.018047217598340753,0.020320113848727964,0.03945647353938321,0.0,0.0,0.025808022949825003,0.012424203960762851,0.026054743161396682,0.0,0.0,0.0,0.0,0.03871203442473751,0.10010435157361448,0.0,0.00561985763266895
5,010060185.pdf,0.00255823368799925,0.09836395109516234,0.0010817628911990902,0.0016403073583422508,0.023968433708477618,0.017803705096444213,0.007034704465917547,0.017808954792688778,0.09469556885879285,0.041667087983266404,0.028759831309640656,0.014341728765494043,0.0,0.008276572410937695,0.0,0.011581005356537812,0.0,0.004479922856490913,0.0,0.0016724803641990325,0.0029531818881456456,0.0036224112785317956,0.13289318496655406,0.0,0.0013454111302356802,0.0,0.0034787564461632296,0.0021164549991987023,0.033490816171554395,0.0,0.009379605954556728,0.08358739298807816,0.01780665440819663,0.0,0.0009234154321991585,0.017368652481705143,0.04982188832829516,0.02006976437038839,0.002400018204504231,0.027328818746490163,0.023188088633385597,0.0,0.06019325389772869,0.0034787564461632296,0.0030674272656175472,0.05241207005624514,0.013672713927716122,0.048311979433476364,0.0,0.03251649935409819,0.0039838135459705675,0.03875507918683831,0.031742296988524425,0.0012766540661451804,0.0051164673759985,0.0311434039464645,0.010238918581055856,0.02683998857415354,0.0030408627368225896,0.0,0.0031265353181855766,0.0,0.02430704698260644,0.0009821078626700282,0.0,0.0019848790400143253
6,010081719.pdf,0.4117004338638135,0.02916794435006674,0.0,0.18967060859551912,0.01922094922841861,0.02018915308367681,0.2388560535197793,0.09237391153682417,0.03311642996262483,0.022704083189194816,0.012197613321388074,0.017373894196922684,0.0,0.09474395601036567,0.0,0.0,0.00190820465354568,0.002751758744917751,0.003649771714856126,0.03441483204356107,0.05192488116749232,0.007120123971917796,0.016098980623982333,0.020812205370801876,0.0,0.002184977493953342,0.00988269929015236,0.07767598480941246,0.014357179190982186,0.08807484011991518,0.005281239374306678,0.012717972048278426,0.016881952218987275,0.06010844658668891,0.0028360047395284806,0.0002807516703735482,0.00544624646570872,0.01695058891697784,0.012899189075449765,0.021619003416956387,0.0015260473000204508,0.018353572013312707,0.005777070488436931,0.02216929840763908,0.01342452605096056,0.013997268599851946,0.01143110268987909,0.00047103600178808984,0.0008047208602319219,0.009035411046781922,0.00905400120121323,0.006392087197165338,0.009035411046781922,0.0,0.0007856878508851401,0.0055989074399407784,0.0042676567231419845,0.0073010580277153925,0.016499138024559802,0.05947384223769682,0.014403380111745485,0.007314784505258439,0.00956480020989883,0.0051276448015019115,0.016611616935945806,0.00518158701197524
7,010031015.pdf,0.0,0.00188684510661131,0.1735102815979586,0.0030416011306668516,0.017901201617119843,0.11046719447969426,0.0007246868483594659,0.0,0.004485947248983911,0.001869260148060839,0.0012697378675826925,0.004432280959113424,0.0,0.006975974204724622,0.03389308944930745,0.0,0.0,0.013291302614772451,0.02118846842854092,0.008528462600292325,0.020535178950684383,0.010075486936476728,0.002053517895068438,0.004552775384353738,0.01122650457766981,0.0,0.0024189802339829878,0.0,0.001293783243024146,0.0,0.0007246868483594659,0.0007109864343327825,0.0,0.015361403289220598,0.0034245550486229686,0.0,0.0007829160647417014,0.0,0.06007936478414102,0.001535620666426018,0.004606861999278054,0.0,0.0006975974204724623,0.000806326744660996,0.01137578294932452,0.0007042538896127457,0.0,0.001421972868665565,0.0012146536843841951,0.0,0.011819415890969132,0.00931558078993999,0.0014355936273272429,0.0,0.0,0.0007042538896127457,0.002712270980762949,0.0007109864343327825,0.0009397722009723151,0.0,0.0014493736967189318,0.0019201754111525748,0.002112761668838237,0.0610071901503401,0.007020647232287341,0.0018402680149060336
8,010075906.pdf,0.0,0.0702608713048647,0.0,0.0,0.05081093150459075,0.04106026012407934,0.0021304204350023263,0.0035955607801479157,0.041447061217186165,0.03846650479093916,0.03546113374352306,0.002171655695225002,0.0,0.0020507834568045825,0.0,0.006313035474362133,0.0,0.0,0.0,0.0,0.006036892344880401,0.013822537111455169,0.020122974482934666,0.0,0.003667051318642471,0.0,0.004740847658553345,0.0,0.030427512414686622,0.0,0.12143396479513259,0.00836057688719453,0.012660991462480663,0.0,0.020134881909041783,0.04235682686328882,0.052936835960033166,0.0045585109169309105,0.0,0.040629492449251674,0.015800358174708987,0.0,0.03076175185206874,0.01896339063421338,0.00836057688719453,0.010351760082698816,0.008281408066159053,0.022991586439784956,0.0,0.010550826218733886,0.004343311390450004,0.023473512799234455,0.02321181768121455,0.0,0.011621198913536948,0.008281408066159053,0.0,0.01672115377438906,0.0,0.0,0.004260840870004653,0.0,0.020703520165397633,0.0,0.0,0.0
9,42393.pdf,0.0,0.007273522812062341,0.37326691594243283,0.0031977122887082363,0.05256616935143489,0.04939158019169191,0.0007618816343470534,0.0038575367733509405,0.004716189936919099,0.0019652005274393832,0.00800944543649058,0.03417164085448391,0.004283633399627888,0.020535251319673493,0.1327009525536924,0.0,0.002018729032814301,0.02794696600791935,0.019602856589890003,0.024453241884926914,0.06476746088041076,0.01271113745979989,0.007196384542267862,0.0028718688287213646,0.02622824120515716,0.012713429988714366,0.003390846898523183,0.0020629713465028436,0.00408056125449565,0.0028718688287213646,0.02133268576171749,0.0029899121686245995,0.0,0.004037458065628602,0.025202250079243736,0.013365584038561367,0.0008230994840216759,0.0,0.014036212786528307,0.012108276689327652,0.0,0.0011421542421556632,0.008800821994145783,0.02119279311576989,0.028404165601933696,0.0007403999474091179,0.00370199973704559,0.0,0.00383098852829711,0.0007546379664004619,0.006213025609906166,0.020286962377784643,0.007546379664004618,0.0,0.005818367598333372,0.008884799368909414,0.008554437488249066,0.0037373902107807498,0.0019760126239673674,0.0,0.006095053074776427,0.0010093645164071506,0.015548398895591477,0.0,0.0,0.0029020805455636277
10,010018399.pdf,0.027966242864793517,0.12337304356977023,0.0,0.034233062572590234,0.015879967952566996,0.008166190672873993,0.03262525118799355,0.0491628619431134,0.0638841711847276,0.03806953234781637,0.07349571605586593,0.002375480558622193,0.0,0.011216318135270891,0.0,0.14846948389037468,0.009262060461358338,0.0,0.0,0.004986358603367125,0.008804661764932145,0.028079772581340836,0.03521864705972858,0.0,0.0,0.0,0.0155574267169219,0.0,0.0332833442922151,0.026352642971231743,0.02097337576371014,0.08230747216632357,0.03693150086745313,0.0030873534871194456,0.008259254787185578,0.05178316683707126,0.02769385017034852,0.0199454344134685,0.0,0.027159519755494743,0.034566661506993314,0.0,0.0717844360657337,0.0,0.004572637342573531,0.040764038959282774,0.027176025972855178,0.018290549370294125,0.0,0.03462328206323731,0.014252883351733157,0.017117775903966324,0.07847943934333788,0.03044988807050211,0.030508628579774745,0.020382019479641387,0.03270693092087774,0.027435824055441187,0.003022024930553859,0.0,0.023303750848566823,0.006174706974238891,0.011323344155356326,0.0029280714412479717,0.0,0.0
